Stichwort,Titel,Beschreibung,Sprachausgabe
aabbraechha,aabbrächha,"(aabbrochha)'abbrechen'. Zum Aabbrächa tua '«zum Abbrechen tun»; wild, ausgelassen sein', (hauptsächlich von Kindern), auch wenn sie hysterisch schreien und nicht mehr zu beruhigen sind; dr Chrisschbomm aabbrächha 'den Schmuck vom Christbaum entfernen'.",
aabbroechhla,aabbröchhla,"(aabbröchhlat)'«abbröckeln»; brockenweise, stückweise kleiner werden', etwa von einem morschen Felsen.",
aabbrueaja,aabbrüaja,"(aabbrüad)'mit siedendem Wasser übergiessen; in siedendes Wasser legen'.",
aabbutza,aabbutza,"(aabbutzat)'«abputzen»; abwischen, reinigen'. I muas dr Tisch zeerscht aabbutza 'ich muss zuerst den Tisch reinigen'.",
aabchlempa,aabchlempa,"(aabklempt)'abklemmen', auch im übertragenen Sinn.",
aabchlueuepa,aabchlüüpa,"(aabklüüpt)'abzwicken, abklemmen'. Zu aab und chlüüpa.",
aabcho,aabcho,"(aabko)'«abkommen»; hinunterkommen', übertragen auch eim aabcho '«jemandem abkommen»; jemanden los werden; fortkommen von jemandem'; ganz aabcho '«ganz hinunter kommen»; einen Tiefpunkt erreichen'.",
aabchuala,aabchuala,"(aabkualat)'«abkühlen»; kühl, kälter werden'. Auch nur einfach chuala.",
aabdegga,aabdegga,"(aabteggt)'(von etwas) die Abdeckung wegnehmen''(etwas) bedecken'",
aabdreeja,aabdreeja,"(aabtreed)'«abdrehen»; durch Drehen gewaltsam abbrechen';ds Liecht aabdreeja 'das Licht ausmachen, löschen'.",
aabetza,aabetza,"(aabgetzt)'abweiden; durch das Vieh abfressen lassen', z. B. einen Weideplatz; 
'Gras fressen'. Zu aab und etza.",
aabfaa,aabfaa,"(aabgfanga)'«abfangen»; erwischen'.",
aabfaara,aabfaara,"(aabgfaara)'«abfahren»; 'hinunterfahren'; speziell 'mit dem Vieh im Herbst von der Alp fahren'.",
aabfigga,aabfigga,"(aabgfiggat)'«abficken»; abwetzen, abreiben'.",
aabflachha,aabflachha,"(aabgflachhat)'«abflachen»; flacher werden'.",
aabfueara,Aabfüara,"n. koll.'«Abführen»; Durchfall'. Auch Laggsierer.",
aabgae,aabgä,"(aabgä)'«abgeben»; bedingt durch das Alter an Kraft verlieren'; 
'(von einem Amt, einer Aufgabe) zurücktreten; ein Amt abgeben'. Ar hed afaa au aabgä '«er hat anfangs auch abgegeben»; er ist nicht mehr so agil wie früher'.",
aabgaa,aabgaa,"(aabganga)'«abgehen»; vermissen'. As ischt mr afaa aabganga '«es ist mir anfangs abgegangen»; ich habe es bereits vermisst'.",
aabgfriera,aabgfriera,"(aabgfroora)'«abgefrieren»; durch Erfrieren abtöten'.",
aabgnaga,aabgnaga,(aabgnagat)'abnagen'.,
aabgschira,aabgschira,"(aabgschirat)'«abgeschirren»; einem Zugtier das Zuggeschirr abnehmen'.",
aabgschmaggt,aabgschmaggt,"'«abgeschmackt»; hochnäsig, geschmacklos'. Aabgschmaggt sii '«abgeschmackt sein»; mehr sein wollen als andere'.",
aabgschtanda,aabgschtanda,"'«abgestanden»; alt' (von Flüssigkeiten). Aabgschtandes Wasser 'faules Wasser'.",
aabgwenna,aabgwenna,"(aabgwennd)'abgewöhnen'. Ei Glesli zum Aabgwenna 'ein (letztes) Gläschen zum Abgewöhnen'.","Dein Browser unterstützt die Sprachausgabe nicht."
aabhaelffa,aabhälffa,"(aabgholffa)'«abhelfen»', mit Dativ 'einen Vorgang beenden'; 
als persönliche Drohung: 'dein Tun werde ich beenden'. 
Dir wil i scho aabhälffa (auch dir wil i scho hälffa) 'mit dir werde ich schon fertig, deinem Tun werde ich abzuhelfen wissen'; ämm wil i scho aabhälffa 'dies werde ich schon abzustellen wissen; diesem werde ich ein Ende bereiten'.",
aabhaua,aabhaua,"(aabghaua)'«abhauen»; abschneiden', auch 'verschwinden'.",
aabheb,Aabheb,"m.beim Jassa die Karte, die nach dem Aabheba zuunterst zu liegen kommt.Diese Karte ist beim Handjass Trumpf.",
aabheba,aabheba,"(aabghebt)'«abheben»; (Geld) auf der Bank holen'; 
'beim Jassa die Karten nach dem Mischen in zwei Teile teilen, und den unterenTeil den oberen Teil legen'.",
aabkeia,aabkeia,"(aabkeid)'hinunterfallen'.Zu aab und keia.",
aablauf,Aablauf,"m. Pl. Abläuf'«Ablauf»; Rinne, Röhre zur Ableitung einer Flüssigkeit'.",
aablauffa,aablauffa,"(aabgloffa)'«ablaufen»; (Schuhe) abnützen'; auch von nicht mehr gültigen Karten oder Lebensmitteln über das Datum; '(eine Strecke) ablaufen; etwas entlanggehen'.",
aableera,aableera,"(aabgleerd)'«hinableeren»; hinunterschütten', auch 'schnell trinken'.",
aablegga,aablegga,"(aabgleid)'«ablegen»; den Mantel ausziehen' (legg aab als Aufforderung zu bleiben); 
'beim Jassa die Karten «ablegen» und die Möglichkeit Trumpf zu machen an den oder die Gegner weitergeben'.",
aablosa,aablosa,"(aabglosat)'«ablosen»; (unfreiwillig) zuhören'.",
aabluaga,aabluaga,"(aabgluagat)'«ablugen»; nachmachen'. 
Schi hed mr s nu aabgluagat '«sie hat es mir nur abgeschaut»; sie hat es mir nachgemacht'.",
aabluusa,aabluusa,"(aabgluusat)'«ablausen»; (jmdm.) etwas durch List oder beim Glücksspiel abnehmen'.Zu Laus, ursprünglich jemandem die Läuse nehmen.",
aabmachha,aabmachha,"(aabgmachhat)'«abmachen»; ein Übereinkommen treffen; Treffpunkt und Zeit vereinbaren'.",
aabnae,aabnä,"(aabgnu)'«abnehmen»; Gewicht verlieren, abnehmen'; 'kleiner werden', auch vom Mond; 
'jemandem helfen, jemandem etwas abnehnen', z. B. eine Arbeit oder Besorgung abnehmen; 
'herunternehmen', z. B. die Wäsche von der Leine.",
aabpassa,aabpassa,"(aabpassat)'«abpassen»; jemandem auflauern; jemanden abfangen'.",
aabrauma,aabrauma,"(aabgraumd)'«abrahmen»; entrahmen'.Vgl. auch Milch und zentrifuugna.",
aabrupfa,aabrupfa,"(aabgrupft)'«abrupfen»; ab-, aus-, wegreissen'.Z. B. eine Pflanze ausreissen, ein Blatt vom Kalender abreissen etc.",
aabruuma,aabruuma,"(aabgruumd)'abräumen'. 
Tua mr no dr Tisch aabruuma 'tu mir noch den Tisch abräumen'.",
aabschlaa,aabschlaa,"(aabgschlaga)'«abschlagen»; durch Schlagen abtrennen',übertragen auch 'billiger werden'.",
aabschlaegga,aabschlägga,"(aabgschläggat)'«abschlecken»; ablecken'.",
aabschriiba,aabschriiba,"(aabgschriba)'abschreiben'.Vor allem für das Abschreiben (Spicken) in der Schule.",
aabschwaartna,aabschwaartna,"(aabgschwaartnat)'«abschwarten»; gewaltvoll, brutal verprügeln'.Zu Schwarte, ursprünglich 'die Schwarte vom Speck abschneiden'.",
aabschwaenza,aabschwänza,"(aabgschwänzt)'«abschwänzen»; dem Vieh den aufgebundenen Schwanz loslösen, losbinden'.",
aabspara,aabspara,"(aabgsparat)'«absparen, sich etwas mühevoll ersparen'. 
Vam Muul aabspara '«vom Mund absparen»; sich mühsam verdienen'.",
aabstaechha,aabstächha,"(aabgschtochha)'«abstechen»; durch einen Stich töten'; 
beim Jassa den Stich des Partners stächha.",
aabtachha,aabtachha,"(aabtachhat)'«abdachen», die Ziegel vom Dach nehmen'.",
aabtaedaga,aabtädaga,"(aabtädagat)'vermittelnd in einen Streit eingreifen'; 
'abwehren einer Krankheit'. Zu mhd. tagedingen 'gerichtlich verhandeln; verhandeln; eine Übereinkunft treffen'.",
aabteilig,Aabteilig,"f. Pl. Aabteilaga '«Abteilung»; Schulstufe, Klasse'. Die Schüler der ersten Aabteilig nennt man Apazeener.",
aabtisscha,aabtisscha,"(aabtisschat)'«abtischen»; den Tisch abräumen'.Vgl. auch tisscha.",
aabtrib,Aabtrib,"m.'«Abtrieb»; das Aabtriiba des Viehs von den Alpen'.",
aabtriiba,aabtriiba,"(aabtriba)'«hinabtreiben»; das Vieh im Herbst von der Alpe wieder ins Dorf zurück treiben'.",
aabtrischaagga,aabtrischaagga,"(aabtrischaaggat)'abkanzeln, schelten'.",
aabtritt,Aabtritt,"m.'«Abtritt»; Abort, WC'. Auch Aport oder Latriina.","Dein Browser unterstützt die Sprachausgabe nicht."
aabtrittguella,Aabtrittgülla,"f.'Jauche (Gülle) aus dem Aabtritt'. Im Gegensatz zur Stallgülla, der Jauche aus dem Stall.",
aabtruechhna,aabtrüchhna,"(aabtrüchhnat)'«abtrocknen»; etwas Nasses mit einem Trüchhner trocken reiben'.",
aabverheia,aabverheia,"(aabverheid)'misslingen'. As ischt mr aabverheid 'es ist mir misslungen'. Vgl. auch verheia.",
aabwaeaercha,aabwäärcha,"(aabgwäärchat)schi aabwäärcha '«sich abwerken»; sehr viel arbeiten, ohne auf die eigene Gesundheit zu achten'; 
als Part. Perf. 'durch häufige strenge Arbeit früh gealtert bzw. krank sein'.",
aabwaesscha,aabwässcha,"(aabgwässcht)'(Geschirr) abwaschen'.",
aabwaesschwasser,Aabwässchwasser,"n.'Spülwasser'. 
As schmeggt wia Aabwässchwasser sagt man von einer Flüssigkeit, die fad (laugenhaltig) schmeckt.",
aabwetza,aabwetza,"(aabgwetzt)'«abwetzen»; durch häufigen Gebrauch eine Klinge (Sense) unscharf machen'.",
aabwoorga,aabwoorga,"(aabgwoorgat)'«hinabwürgen»; hastig essen, das Essen hinunterwürgen'.",
aabzella,aabzella,"(aabzelld)'«abzählen»; subtrahieren'.",
aabzia,aabzia,"(aabzoga)'«abziehen»; ausziehen', schi aabzia 'sich ausziehen'; 
'hinunterziehen'; 
'kassieren', tua mr no aabzia '«tu mir noch abziehen»' sagt man, wenn man im Gasthaus bezahlen will.",
aadia,aadia,"[à:día]'auf Wiedersehen'. Frz. adieu.",
aaha,aaha,"'«anher»; herunter'",
aahahaua,aahahaua,"(aahaghaua)'«herunterhauen»; von etwas abschneiden', 
auch eine Ohrfeige 'herunterhauen'.",
aahahola,aahahola,(aahagholat)'herunterholen'.,
aahakeia,aahakeia,"(aahakeid)'herunterfallen'. Zu keia.",
aahalaa,aahalaa,"(aahaglaa)'herunterlassen'. Auch von starkem Regen: as laad aaha, was as mag '«es lässt herunter, soviel es kann»'.",
aahalampa,aahalampa,"(aahaglampat)'«herunterlampen»; herunterhängen'. Zu lampa.",
aahalaesa,aahaläsa,"(aahagläsa)'«herunterlesen»; pflücken'.",
aahaleera,aahaleera,"(aahagleerd)'«herunterleeren»; herunterschütten', vor allem auch von starkem Regen. Auch aahalaa.",
aaharichta,aaharichta,"(aahagricht)'«herunterrichten»; abwärts, herunter weisen'. Etwa eine Viehherde in die Richtung nach unten treiben.",
aahaschneia,aahaschneia,"(aahagschneid)'herunterschneien'. Scherzhaft: As hed aahagschneid, bis i ds Land aab und däna widr uuf '«es hat heruntergeschneit, bis ins Land hinunter und drüben wieder hinauf».'",
aahatroola,aahatroola,"(aahatroolat)'herunterfallen; sich herunter kugeln lassen'. Zu troola.",
aahatroeoela,aahatrööla,"(aahatrööld)'etwas herunter rollen lassen'. Zu trööla.",
aahatua,aahatua,"(aahataa)'«heruntertun»; herunternehmen'.",
aahoora,Aahoora,m.'Ahorn'.,
aali,Aali,"n. Pl. gl.'Liebkosung' (Wange auf Wange). Aali machha, Aali gä 'sich liebkosen'.",
aalt,aalt,"'alt'. Alti Männer 'alte Männer', äälti Fraua 'alte Frauen', aalti Sachha 'alte Sachen'.",
aaltfrenkisch,aaltfrenkisch,"'«altfränkisch»; altmodisch'.",
aamat,Aamat,"n.'zweiter Graswuchs im Jahr, zweite Heuernte'. Mhd. âmât.",
aameissa,Aameissa,"f. Pl. gl.,'Ameise'.",
aamer,Aamer,"m.'Gelüste nach Essen'. Mhd. âmer. Vgl. auch aamergällig.",
aamergaellig,aamergällig,"'gierig'. Zu Aamer und gällig.","Dein Browser unterstützt die Sprachausgabe nicht."
aeaemta,äämta,"(gäämtat)'Aamat machen'.",
aana,Aana,"f. Pl. gl., Dim. Aani'Grossmutter'. Mhd. ane, ahd. ana.",
aani,aani,"'ohne'. Mhd. âne.",
aanischt,aanischt,"'ausser'. Zu aani.",
aarbat,Aarbat,"f. koll.'Arbeit'.",
aeaerbsa,"Äärbsa","f. Pl. gl., Dim. Äärbsli'Erbse'.",
aeaerbsasuppa,"Äärbsasuppa",f.'Erbsensuppe'.,
aeaerda,"Äärda","f. koll.'Erde, Erdboden'. Auch Häärd.",
aeaerdoeoelliecht,"Äärdöölliecht","n. koll.'Lampe, die von Erdöl gespiesen wird'.",
aeaerdschleipf,äärdschleipf,"'am Boden schleifend'. Etwas, was man nicht zu tragen im Stande ist, zieht man äärdschleipf. Zu Äärda und schleipfa.",
aarfl,Aarfl,"m.'armvoll'. Siehe auch Hampfla und Hampflata.",
aeaes,ääs,'es'.,
aatera,Aatera,"f. Pl. gl.'Kreuzotter', auch allgemein 'Schlange'.",
aberwilla,Aberwilla,"m.'«Aberwillen»; Widerwillen, Abneigung, Ekel'.",
abetta,abetta,"(apettat)'«anbetten»; das Bett beziehen'. Vgl. auch betta.",
abfaara,abfaara,"(abgfaara)'«abfahren»; sich davon machen, verschwinden'; 
etwas 'beseitigen'. 
Mid ättas abfaara '«mit etwas abfahren»; etwas beseitigen, wegschaffen, sich einer Sache entledigen'; mid äppert abfaara '«mit jemandem abfahren»; jemanden verjagen, wegjagen, verscheuchen'.",
abgoettisch,abgöttisch,"'überaus, übertrieben stark'. Ar hed scha abgöttisch gäära '«er hat sie abgöttisch gern»; er liebt sie übertrieben stark'.",
abinda,abinda,"(apunda)'«anbinden»; mit einer Schnur oder einem Seil befestigen'.",
abrella,Abrella,"m.'April'. Dan Abrella 'im April'. Mhd. aberëlle.",
absunder,absunder,"'zur Seite'. Absunder tua 'aussondern; zur Seite legen'.",
achher,Achher,"m. Pl. àchher, Dim. Ächherli'Acker'.",
acho,acho,"(acho)[ácho]'Feuer fangen'; 
'ankommen'; 
'gestartet sein' von einem Motor. 
Ds Huus ischt acho 'das Haus hat Feuer gefangen'.",
acht,acht,"Zahlwort 'acht'.",
achta,achta,"(gachtet)'«achten»; beachten'. Äär hed mi gar nid gachtet '«er hat mich nicht geachtet»; er hat mir überhaupt keine Beachtung geschenkt', auch 'er hat mich nicht bemerkt'.",
achti,achti,"'acht Uhr'.",
afaa_1,afaa,"[àfá:]'anfangs, endlich einmal'. Dua hed r afaa agfanga 'dann erst hat er angefangen'.",
afangsch,afangsch,"'anfangs, zu Beginn'. Jünger für älteres anfengli.",
afengli,afengli,"'anfangs, zu Beginn'. Älter für afangsch.",
affnig,Affnig,"f. koll.'Schande; etwas, wofür man sich schämt'.",
afichta,afichta,"(agfochta)'anmachen, Lust haben auf, reizen'. 
As ficht mi scho a z gaa 'es reizt mich schon zu gehen'; as hed mi scho agfochta zum a d Fasnicht gaa 'ich hatte eigentlich schon Lust an die Fasnacht zu gehen'.",
afikaat,Afikaat,"m. Pl. Afikaata'Rechtsanwalt, Rechtskundiger'. 
Reda as wia an Afikaat '«reden so wie ein Advokat»; redegewandt sein', auch spöttisch 'siebengescheit reden'.",
afueuera,afüüra,"(agfüürat)'«anfeuern»; Feuer im Ofen machen; heizen'.Auch füüra. Vgl. auch alegga.",
agae,agä,"(aggä)'«angeben»; Tempo machen, anschieben' (auch amachha); 
jemandem etwas agä 'jemanden anschwindeln'.",
agaa,agaa,"(agganga)'«angehen»; beginnen'.",
agatli,Agatli,"f.,Koseform zum weibl. Vorname Agathe.",
agatschanaug,Agatschanaug,"n.'Hühnerauge'.Zu mhd. agelster 'Elster'.",
agattaga,agattaga,"(aggattagat)'ins Werk setzen, beginnen'.Vgl. auch areisa oder agschira. Zu Gattig.",
agenza,agenza,"(aggenzt)'«angänzen»; von einem Ganzen das erste Stück wegnehmen',übertragen auch für das erstmalige Benutzen von etwas Neuem. Mhd. engenzen, 'unganz machen'.",
aegerschta,"Ägerschta","f. Pl. gl.'Elster'.Vgl. aber auch Agatschanaug. Mhd. agelster.",
aegerta,"Ägerta","f. Pl. gl.'ehemaliger Acker'.",
aggreis,Aggreis,"n.'ein Tun (z. B. eine Arbeit), welches man unterschätzt hat und das zu manchen Problemen führt'.Auch Irichtig. Vgl. auch Chumeedi. Zu Greis.",
aeggs,"Äggs",f.'Axt'.,
aeggsami,"Äggsami","f. Pl. gl.[äksámi]allgemein 'Prüfung'; 
'Pflichtbesuch als kirchliche Ehevorbereitung vor der Hochzeit'. Zu Examen n.",
aggsla,Aggsla,"f. Pl. gl.'Achsel'. 
Aggsla bezeichnet Achsel und Schulter zusammen.",
aglara,aglara,"(agglarat)'«anglaren»; sehr böse anschauen, glotzen, anstarren'.Zu glara.",
agraffa,Agraffa,"f. Pl. gl.[ágràf:a]'Krampe'.",
agriifa,agriifa,"(aggriffa)'«angreifen», berühren'.",
agschira,agschira,"(agschirat)'einspannen von Vieh'; 
'einrichten, beginnen' (auch areisa oder agattaga).",
aegschpliziera,ägschpliziera,"(ägschplizierd)'erklären'. Frz. éxpliquer.",
ahaa,ahaa,"[àhá:]'«aha!», ach so!'.",
aheimala,aheimala,"(agheimalat)[áhèimala]'vertraut vorkommen'.Vgl. auch heimala.",
ahenga,ahenga,"(aghengt)'anhängen', 
jemandem etwas ahenga 'jemandem eine Eigenschaft, ein Tun nachsagen'.",
ahenger,Ahenger,"m. Pl. gl.'Anhänger'.",
ahogga,ahogga,"(aghoggat)'«anhocken»; in der Pfanne anbrennen'.",
ajaena,ajäna,'herüben'.,
ajinna,ajinna,'herinnen'.,
ajoppa,ajoppa,'heroben'.,
ajunna,ajunna,'herunten'.,
ajuussa,ajuussa,'heraussen'.,
alaa,alaa,"(agglaa)[ála:]'starten (einer Maschine, eines Motors)', 
'beginnen'. As laad schi guat a '«es lässt sich gut an»; die Sache beginnt vielversprechend'.",
alaega,aläga,"[áläga]'regelmässig leicht steigend oder fallend'.",
alauffa,alauffa,"(aggloffa)'«anlaufen»; sich beschlagen'. 
Ds Fänschter ischt aggloffa 'das Fenster hat sich beschlagen'.",
alawanti,alawanti,"[àlawánti]'schnell, rasch, sofort'. Ital. avanti.",
albi,albi,"'immer, stets'. Albi widr mehrmals, albi no 'immer noch'. Mhd. allwëc. Auch tuschuur.",
alegga,alegga,"(aggleid)[álèka]'«anlegen»' schi alegga 'sich anziehen', legg an Tschoopa a 'zieh dir eine Jacke über'; 
as Schiid alegga 'ein Holzscheit ins Feuer geben' oder allgemein 'Feuer machen, einheizen'; vgl. auch afüüra und ifüüra.","Dein Browser unterstützt die Sprachausgabe nicht."
aelf,älf,"'elf', die Zahl 11.",
aelfi,älfi,"'elf Uhr'.",
alli,alli,"'alle'. Auch verkürzt zu all (all Hennaschis 'immer wieder'). Alli Männer 'alle Männer', älli Fraua 'alle Frauen', alli Chind 'alle Kinder'.",
aellimaal,ällimaal,"'«allemal»; immer, jederzeit'.",
allpott,allpott,"'oft, manchmal'. Vgl. auch asia. Zu mhd. al-gebot; vgl. auch Bott.",
allwaeg,allwäg,"'so oder so, recht und schlecht'.",
alpa_1,Alpa,"f. Pl. gl., Dim. Alpelti'Alp'.",
alpachrueuez,Alpachrüüz,"n.'«Alpkreuz»; Kreuz in der Nähe der Alphütte, unter welchem das Ave gesungen wird'.",
alpgnooss,Alpgnooss,"m.'«Alpgenosse»; 'Anteilhaber an einer Gemeinschaftsalpe'. Auch Gnooss.",
alphuetta,Alphütta,"f.'«Alphütte»; Wohngebäude auf der Alp'.",
alpmeischter,Alpmeischter,"m.'«Alpmeister»; Hauptverantwortlicher für eine bestimmte Alpe'. Auch Alpvogt.",
alpobma,Alpobma,"m.'«Alpobmann»; Vorsitzender des Alpausschusses', er ist für alle Alpen verantwortlich.",
alpraechhnig,Alprächhnig,f.'«Alprechnung»'.,
alpraecht,Alprächt,"n.'«Alprecht»; das Recht, die Alp zu beschicken'.",
alpvogt,Alpvogt,"m.'«Alpvogt»; Hauptverantwortlicher für eine bestimmte Alpe'. Auch Alpmeischter.",
alpwaeaerch,Alpwäärch,"n.'«Alpwerk»; gemeinsame, von Gemeinde oder einer Genossenschaft organisierte Arbeit auf der Alp', z. B. Weideräumung, Zäunen usw.",
alpwaeaercha,alpwäärcha,"(alpgwäärchat)'Alpwäärch machen'.",
alpwaeaerchtag,Alpwäärchtag,"m.'Tag, an dem das Alpwäärch stattfindet'.",
aluaga,aluaga,"(agluagat)'«anlugen»; betrachten, sich ansehen'.",
alueueta,alüüta,"(agglüüt)'«anläuten», telefonieren'. Schi hed mr agglüüt 'sie hat mich angerufen'.",
amachha,amachha,"(agmachhat) Dim. amächhala'«anmachen»; Tempo machen' (auch agä); 
'Lust haben, Lust verspüren'. 
 As teet mi scho amachha '«es täte mich schon anmachen»; ich hätte schon Lust dazu'.",
amaechhalig,amächhalig,"'anziehend, verlockend'. Auch amachhig.",
amachhig,amachhig,"'anziehend, verlockend'. Auch amächhalig.",
aemm,ämm,'jenem'.,
ampalaaschsagg,Ampalaaschsagg,"m.'grosser Jutesack'. Zu frz. emballage.",
amt,Amt,"n.'die Hl. Messe am Sonntagmorgen'. Vgl. auch Mäss. Das Amt findet in der Regel um 9:30 h statt. Kurzform von Hochamt.",
ana,ana,"'im Jahr'. Ana einavierzgi 'im Jahr 1941'. Lat. anno.",
aena,äna,"'jener, derjenige'. Abschätzig äna dött 'der dort'.",
anaard,anaard,"'«eine Art»; in gewissem Sinne; auf irgendeine Art und Weise'.",
anagla,anagla,"(agnaglat)'«annageln»; mit einem Nagel befestigen'.",
ananandera,ananandera,"[ananándera]'nacheinander, in einer Folge'. Vgl. auch dananderanaa.",
aenawaeg,änawäg,"'so, auf jene Weise'. Vgl. auch asoo 'auf diese Weise'.",
ancha_1,Ancha,"m.'Butter'. Mhd. anke.",
anchati,Anchati,"f.'Ertrag des Buttermachens'. Zur Bildung vgl. auch Bachhati.",
anch-chuebl,Anch-Chübl,"m.'Butterkübel, Holzbehälter mit Kurbel zum Käsen'.",
anchmilch,Anchmilch,f.'Buttermilch'.,
aendara,ändara,"'solche, derartige'.",
anderscht,anderscht,"'anders, auf andere Weise'.",
andreiass,Andreiass,"m.,männl. Vorname Andreas",
angi,angi,"'(an)hin'. Hogg angi 'setz Dich'.",
angihogga,angihogga,"(angighoggat)'«hinhocken»; sich setzen'.",
angikeia,angikeia,(angikeid)'hinfallen'.,
angitua,angitua,"(angitaa)'«hintun»; hinlegen'.",
angiwaeaerffa,angiwäärffa,"(angigworffa)'«hinwerfen»; hinschmeissen'.",
angl,Angl,"m. Pl. gl.'Stachel der Biene oder Wespe'. Mhd. angel.",
angla,angla,"(ganglat)'stechen', von der Biene.",
aeni,äni,"'sie, diese, jene'.",
anna,Anna,"f.,weibl. Vorname Anna, Dim. Anni, Annali.",
aens,äns,"'jenes, dasjenige'. Redewendung äns und dits und ällimaal '«jenes und das andere und jederzeit»', äns weis ma 'das weiss man'.",
antwurt,Antwurt,f.'Antwort'.,
apaartig,apaartig,"[àpá:rtig]'besonders nett'. Nhd. apart.",
apazeener,Apazeener,"m.'Erstklässler; Volksschüler, der in die erste Aabteilig geht'. Zu ABC.",
aport,Aport,"m.[apórt]'Abort, WC'. Auch Aabtritt, Latriina.","Dein Browser unterstützt die Sprachausgabe nicht."
aeppert,äppert,"'jemand'. I ha äppert gsee 'ich habe jemanden gesehen'. Auch ätwer.",
arala,Arala,"f. Pl. gl.'Bergföhre (Pinus montana Miller)'.",
aralabuschi,Aralabuschi,"n. Dim., Pl. gl.'Zapfen der Arala'. Zu Buschi. Vgl. auch Forabuschi und Tannazapfa.","Dein Browser unterstützt die Sprachausgabe nicht."
areisa,areisa,"(aggreisat)'ins Werk setzen, beginnen, organisieren'. Auch agattaga und agschira.",
aretiera,aretiera,"(aretierd)'schliessen', das Wort wurde selten verwendet, dafür meist pschliessa. Frz. arrêter.",
arichta,arichta,"(aggricht)'«anrichten»; das Essen auf den Teller geben'; 
'anstellen', im negativen Sinn 'ins Werk setzen'.",
ariiba,ariiba,"(aggriba)'«anreiben»; Streuemist auf der Wiese verteilen'.",
aerischt,"Ärischt","m.'Ernsthaftigkeit, Eifer'. Mhd. ërnest.",
as,as,"'als, so'. Solang as 'solange wie'; as wia 'so wie'.",
asa,asa,"'als'. Asa naggaga 'nackt'.",
aschindla,aschindla,"(agschindlat)'«anschindeln»; mit Schindeln verkleiden'.",
aschlaa,aschlaa,"(agschlaga)'«anschlagen»; vorhaben, vorschlagen'. Wir händ dua agschlaga, an andara Wäg z gaa, sind aber scho z spaati gsi 'wir hatten vor, einen anderen Weg zu gehen, waren dafür aber schon zu spät («zu Späte)»'.",
aeschpa,"Äschpa","f.,auch Aschpa 'Zitterpappel (Populus tremula L.)'.",
aeschtimiera(aeschtimierd),äschtimiera,"(äschtimierd)'«ästimieren»; anerkennen; achten'.",
aschtraenza,Aschtränza,"f.'Sterndolde (Astrantia major L.); Meisterwurz'.Die Pflanze wurde zum Schnapsbrennen verwendet; in der Volksmedizin hatte sie grosse Bedeutung gegen Erkältungen und als Wundmittel.",
asia,asia,"[asía'manchmal, hie und da'. Auch allpott.",
asoo,asoo,"[asó:]'so, auf diese Weise', im Gegensatz zu änawäg 'auf jene Weise'.",
aspiina,aschpiina,"(agspiinat)'(ein Fass) anzapfen'. Zu Spiina.",
aessa_1,"Ässa","n. Pl. gl.'Essen, Mahlzeit'.",
aessbraenta,"Ässbränta","f.'hölzernes Essgeschirr'. Zu ässa und Bränta.",
aessig,ässig,'essbar'.,
atraeaega,aträäga,"(aträäga)'«antragen»; anbieten'.",
aetta,ätta,"'etwa'; 
'gelegentlich'.",
aettas,ättas,"'etwas'. Ättas Neusch 'etwas Neues'.",
aetti,"Ätti","m. Pl. gl.'Vater'. Auch Tätta. Mhd. atte.",
aetwer,ätwer,"'jemand'. Ätwer wurd s scho macha 'jemand würde es schon machen'. Auch äppert.",
aetwia,ätwia,"'irgendwie'. Ätwia wurd s de scho gaa 'irgendwie würde es (dann) schon gehen'.",
atzig,Atzig,"f.'Weidgang'. Mhd. atz, atze 'Futter, Gras'.",
